Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
East Asia & Pacific,EAS,5647.05316179546,6476.44714814663,6628.14343526349,7676.51919632752,8842.71580399267,9401.26833918037,9445.93466694985,9663.41905996378,9546.20926428065,9793.32118029292,10369.691406651,
Europe & Central Asia (excluding high income),ECA,6776.31096382394,8366.39606063792,6542.68620752786,7756.54777848545,9541.99772062667,10049.9592182152,10622.7256818718,9850.75430587103,7485.56741413309,7122.57584584211,7942.56038881424,
Europe & Central Asia,ECS,24106.7938612813,26353.1598510417,23085.6873465485,23531.2014684677,26013.7769309386,24973.8117700757,25979.1790046365,26196.0153517052,22451.8090510878,22245.2736747337,23416.1078194071,
Ecuador,ECU,3590.71808551266,4274.95206457671,4255.56570141121,4657.3023611471,5223.35176320248,5702.10431276527,6074.09082895834,6396.63048339218,6150.15595531519,6018.52686848782,6198.94732333954,
"Egypt, Arab Rep.",EGY,1640.47606839651,2011.24615406866,2291.66706219766,2602.47954869567,2747.48032671166,3181.44170830415,3213.38915790942,3327.75424726108,3547.71301183827,3479.28124621174,2412.72708185213,
Euro area,EMU,38700.7128010776,42220.0437596707,38480.9223164945,37605.1459498044,40610.7257997153,37604.5971233843,39111.4448635201,39823.5408569059,34362.6889454659,35038.5512410981,36869.054428756,
Eritrea,ERI,317.329433586554,326.082564151512,430.754449938105,482.1490904235,582.775530237486,,,,,,,
Spain,ESP,32709.4010383771,35579.3099338804,32334.0054777912,30736.6278530812,31835.2888008408,28563.8590381915,29211.7737455935,29623.1644451343,25789.5195481476,26616.757796551,28156.8158362352,
Estonia,EST,16586.4052048847,18094.5480527831,14726.3182780587,14638.6048173457,17454.8434246435,17421.8902227378,19072.2385175669,19949.5813766971,17155.8741759995,17736.8026953521,19704.655040239,
Ethiopia,ETH,243.302682246946,325.382554265056,379.756638540888,341.309909200504,354.846354368724,468.506724907536,502.153588732071,571.162275886001,645.465006707765,712.877949961138,767.563477815809,
European Union,EUU,35593.502076548,38136.0899737747,33979.4949740778,33677.0026425097,36408.7243998398,34235.148691713,35588.0943970764,36670.1304142934,32207.3850954362,32259.8672615641,33715.1273620589,
Fragile and conflict affected situations,FCS,1106.92040972407,1397.40718902854,1273.6002893662,1479.23406754939,1588.42969872988,1787.1241725603,1813.49812446591,1792.7451720619,1555.46675847133,1449.60719146613,1624.61825214233,
Finland,FIN,48288.5490978186,53401.3148725198,47107.1557090705,46202.4151628454,50790.7241454802,47415.5598711351,49638.0771298139,49914.6186421589,42424.2208075022,43433.032224358,45703.327865074,
Fiji,FJI,4078.8232700144,4177.65778874269,3369.40824665782,3651.96678405546,4353.12139240993,4546.73850445133,4763.06895557778,5061.39757456886,4889.46145369562,5197.50913987692,5589.38883340896,
France,FRA,41508.4326882318,45334.1109147277,41575.4161783031,40638.33400426,43790.7353990492,40874.715955798,42592.9515190701,43008.6525700318,36613.3752159613,36870.2191344563,38476.6586361575,
Faroe Islands,FRO,47024.2296980726,49773.1668730863,46521.5017134755,47397.9029229641,50789.0486039991,48421.8030715067,53612.8250038773,57543.6690591516,50581.9684915586,,,
"Micronesia, Fed. Sts.",FSM,2441.50155122861,2516.01868335918,2693.02327818392,2861.77134805435,3000.94811922527,3150.91060162507,3047.58442460126,3057.24558957843,3018.00867541869,3143.74910660682,3187.5571598575,
